french,english
de,of
je,I
est,East
pas,not
le,THE
la,there
vous,YOU
tu,you
un,A
et,And
il,he
a,has
l',L'
ne,born
les,THE
j',I
en,in
on,we
ça,That
une,a
d',of
ce,This
qu',that
pour,For
ai,have
n',n'
qui,Who
mais,but
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,if
du,of
y,y
suis,am
non,No
avec,with
tout,All
mon,My
m',me
te,you
au,At
fait,do
moi,Me
oui,Yes
va,go
était,was
as,as
faire,TO DO
sur,on
se,itself
comme,as
sais,know
veux,want
ici,here
ma,my
toi,You
est-ce,is it
dit,said
lui,him
votre,your
es,is
pourquoi,Why
où,Or
là,there
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
vais,go
ton,your
comment,how
ou,Or
chose,thing
bon,Good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi,Also
avoir,to have
vraiment,Really
voir,see
même,even
sa,its
oh,Oh
maintenant,NOW
tous,all
deux,two
êtes,are
allez,Go on
autre,other
peu,little
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,my
besoin,need
avait,had
accord,agreement
dois,must
vie,life
peut-être,maybe
aller,go
fois,times
donc,SO
sans,without
monde,world
avant,Before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,I had
aime,love
leur,their
homme,man
viens,come on
vrai,TRUE
femme,women
ok,ok
veut,wanna
m.,m.
mal,wrong
chez,at the house of
déjà,Already
depuis,Since
beaucoup,a lot
vos,your
bonne,Good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,girl
tes,your 
gens,people
désolé,Sorry
ca,That
voilà,There
avons,have
maison,House
soit,either
cela,that
autres,others
toute,all
passé,pass
prendre,take
jour,day
monsieur,Sir
savoir,know
choses,things
salut,Hi
cet,this
argent,money
bonjour,Good morning
nuit,night
raison,reason
moins,less
arrive,arrived
maman,Mom
reste,stay
moment,moment
voulais,wanted
seul,alone
aider,help
air,air
passe,pass
problème,issue
ah,ah
regarde,look at
gars,guys
trouvé,find
fils,son
savez,know
jusqu',until
trois,three
assez,enough
famille,family
dû,of
plaît,please
travail,work
pris,taken
tête,head
quelle,what
sait,knows
appelle,calls
quelques,a few
faites,do
partir,leave
vite,quickly
arrête,stop
seule,alone
serait,would be
voiture,car
enfants,children
hé,Hey
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,share
elles,they
jours,days
grand,big
aujourd'hui,Today
venir,come
ami,friend
demain,tomorrow
hein,eh
tard,late
puis,Then
truc,thing
passer,pass
petite,small
tant,so much
connais,know
combien,How much
mec,dude
sens,sense
pouvez,can
porte,door
sortir,to go out
super,great
heure,hour
coup,cut
comprends,understand
entendu,heard
vient,come
allons,let's go
ensemble,together
amour,love
importe,imported
sang,blood
désolée,Sorry
cas,case
sous,below
rester,stay
amis,friends
prends,take
fini,finished
hommes,men
tué,killed
question,question
partie,part
histoire,history
devrais,should
aide,help
dernière,last
demande,request
chercher,seek
genre,gender
car,because
frère,brother
laisser,to leave 
aucun,none
eux,them
chaque,each
arrivé,arrived
devrait,should
parlé,speak
avez-vous,do you have
vont,are going
longtemps,a long time
aucune,none
heures,hours
bébé,baby
place,place
revoir,goodbye
putain,damn
compris,Understood
ni,neither
savais,knew
étaient,were
donner,give
affaire,affair
endroit,place
pourrais,could
façon,way
donné,given
écoute,listen
yeux,eyes
pouvoir,power
type,kind
perdu,lost
premier,first
côté,side
tellement,such
main,hand
tiens,hold
sois,be
enfant,child
vieux,old
matin,Morning
venu,came
pardon,pardon
là-bas,over there
vers,towards
minutes,minutes
demandé,request
venez,come
devant,in front
dr,dr
enfin,Finally
arrêter,Stop
cause,cause
nouvelle,new
attendez,wait
chambre,bedroom
droit,right
compte,account
dirait,would say
terre,earth
belle,beautiful
espère,hope
aimerais,would like
loin,far
as-tu,did you have
mari,husband
donne,given
fin,END
croire,believe
mme,mrs
aura,will have
gros,fat
boulot,job
plutôt,instead
chérie,Dear
prêt,ready
filles,girls
bureau,desk
mourir,die
hier,yesterday
possible,possible
demander,ask
celui,the one
jeune,young
euh,uh
dehors,out
a-t-il,has he
confiance,trust
appeler,to call
années,years
vérité,truth
école,school
chef,chief
femmes,women
propos,about
semaine,week
feu,fire
madame,Mrs
hey,hey
près,close
affaires,business
meilleur,best
devez,must
mains,hands
penses,think
prie,pray
équipe,team
vas-y,go ahead
grande,large
manger,eat
arriver,arrive
dur,hard
guerre,war
ait,has
appelé,called
marche,walk
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,Exactly
font,make
fort,strong
presque,almost
plein,full
derrière,behind
ben,well
mariage,marriage
parents,parents
capitaine,captain
dernier,last
ceux,those
tomber,to fall
attendre,to wait for
vue,view
souviens,remember
envie,envy
jeu,game
génial,awesome
pays,country
garde,guard
cours,course
bientôt,Soon
ii,ii
numéro,number
personnes,people
cinq,five
parfait,Perfect
laissé,leave alone
ainsi,Thus
retour,back
semble,seems
autant,as much
minute,minute
essayé,try
instant,instant
prison,prison
essayer,to try
prend,takes
arme,armed
